Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01798134 0.         1.97851989 0.         0.06115846]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01798136 0.         1.97851968 0.         0.06088002]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0179351  0.         1.9734269  0.         0.06044564]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01793512 0.         1.97342669 0.         0.06016796]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01793514 0.         1.97342648 0.         0.05989032]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01793516 0.         1.97342627 0.         0.05961269]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01791204 0.         1.97087972 0.         0.05932784]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01791205 0.         1.97087957 0.         0.05911991]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01791207 0.         1.97087941 0.         0.058912  ]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01791208 0.         1.97087925 0.         0.0587041 ]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01786582 0.         1.96578631 0.         0.05834506]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01786583 0.         1.96578616 0.         0.05813772]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0178427  0.         1.96323961 0.         0.05785536]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01784271 0.         1.96323951 0.         0.05771732]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01781959 0.         1.96069296 0.         0.05743569]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0178196  0.         1.96069286 0.         0.05729785]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01777333 0.         1.95560019 0.         0.05701156]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01777334 0.         1.95560009 0.         0.05687408]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.0177502  0.         1.95305365 0.         0.05673138]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01775021 0.         1.95305355 0.         0.0565941 ]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01770393 0.         1.94796072 0.         0.05637807]
Timestamp: 2024-07-03 04:53:20, Q multiplier: 0.1, R multiplier: 0.1, Initial state: [0. 0. 0. 0. 0.], Predicted state: [0. 0. 0. 0. 0.], Updated state: [0.01770393 0.         1.94796067 0.         0.0563096 ]
